code,title,category,subcategory,base,Group_a,Group_b,Group_ls,Croup_Ch_B
ОРТ-А16.07.004.02,Восстановление зуба коронкой постоянной металлокерамической с плечевой массой выполненная в артикуляторе (КХС). Класс В,Ортопедическая стоматология (старый прайс),"Металлокерамические, цельнолитые коронки","18.500,00 ₽",,,,
ОРТ-А16.07.004.03,Восстановление зуба коронкой постоянной металлокерамической с индивидуальным воспроизведением эстетики на зубы в линии улыбки выполненная в артикуляторе (КХС). Класс А,Ортопедическая стоматология (старый прайс),"Металлокерамические, цельнолитые коронки","32.500,00 ₽",,,,
ОРТ-А16.07.004.2.1,"Восстановление зуба коронкой постоянной металлокерамической с плечевой массой выполненная в артикуляторе (КХС, со стоимостью комплектующих) - Акция ""Под ключ""",Ортопедическая стоматология (старый прайс),"Металлокерамические, цельнолитые коронки","28.000,00 ₽",,,,
ОРТ-6605,Пресованная керамика e.max ( восстановительная вкладка). Класс В,Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"27.250,00 ₽",,,,
ОРТ-6606,"Пресованная керамика e.max,enamic ( восстановительная вкладка). Класс А",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"33.250,00 ₽",,,,
ОРТ-6609,"Пресованная керамика e.max ( коронка, винир). Класс А",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"39.950,00 ₽",,,,
ОРТ-6610,"Керамическая коронка, зуб на каркасе из диоксида циркония. Класс С",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"27.500,00 ₽",,,,
ОРТ-6611,"Керамическая коронка, зуб на каркасе из диоксида циркония. Класс В",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"33.500,00 ₽",,,,
ОРТ-6612,"Керамическая коронка, зуб на каркасе из диоксида циркония. Класс А",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"39.500,00 ₽",,,,
ОРТ-6613,"Ультратонкий керамический винир,вкладка (полевошпатные). Класс А",Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"49.000,00 ₽",,,,
ОРТ-6616,Ультратонкий керамический винир(повышенная эстетика),Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"59.000,00 ₽",,,,
ОРТ-6617,Ультратонкий керамический винир e.max (повышенная эстетика),Ортопедическая стоматология (старый прайс),БЕЗМЕТАЛЛОВЫЕ КОРОНКИ,"79.000,00 ₽",,,,
